해역코드,해역,관측소,설치일자,종료일자,위도(°N),경도(°E),수온,,,수심(m),,,제공기관
,,,,,,,표층,중층,저층,표층,중층,저층,
bthga,남해,통영 황리(bthga),2016-10-24,2019-04-19,34.9509,128.4557,O,X,X,5,,,가스공사
fhbl6,남해,해남 북일(fhbl6),2021-06-11,,34.4394,126.7343,O,X,X,2,,,전라남도
fhso4,남해,해남 삼정(fhso4),2024-04-09,,34.5602,126.3412,O,X,X,2,,,전라남도
fhsk7,남해,해남 상마(fhsk7),2020-07-23,,34.4687,126.4034,O,X,X,2,,,전라남도
fhsk5,남해,해남 송호(fhsk5),2020-05-28,,34.3214,126.508,O,X,X,2,,,전라남도
fhyk7,남해,해남 어란(fhyk7),2020-07-23,,34.35,126.4627,O,X,X,2,,,전라남도
fhom6,남해,해남 옥동(fhom6),2022-06-07,,34.5604,126.3578,O,X,X,2,,,전라남도
fhhk5,남해,해남 학가(fhhk5),2020-05-28,,34.4042,126.4805,O,X,X,2,,,전라남도
fhhfc,남해,해남 화산(fhhfc),2015-12-11,,34.4235,126.4216,O,O,X,1,3,,전남과학원
fhhl6,남해,해남 황산(fhhl6),2021-06-11,,34.5415,126.3752,O,X,X,3,,,전라남도
ks001,서해,군산(ks001),2004-12-12,2008-05-27,35.9841,126.513,X,X,X,5,,,
bgbi5,서해,군산 비안도(bgbi5),2018-04-12,,35.7404,126.3523,O,X,X,1,,,기상청
egsi4,서해,군산 신시도(egsi4),2018-04-03,,35.8168,126.4422,O,X,X,2,,,
bghi5,서해,군산 횡경도(bghi5),2018-04-12,,35.8881,126.4256,O,X,X,1,,,기상청
emp67,서해,목포(emp67),2006-07-03,,34.7892,126.3653,O,X,X,5,,,
fmoj7,서해,목포 외달(fmoj7),2019-07-22,,34.7752,126.299,O,X,X,2,,,전라남도
mp001,서해,목포(등부표)(mp001),2004-04-09,2005-04-17,34.364,125.4851,X,X,X,5,,,
fmdka,서해,무안 도리포(fmdka),2020-10-19,,35.1541,126.3479,O,X,X,2,,,전라남도
fmsm6,서해,무안 서북(fmsm6),2022-06-07,,35.152,126.2791,O,X,X,2,,,전라남도
fmsj7,서해,무안 성내(fmsj7),2019-07-22,,34.9147,126.3482,O,X,X,2,,,전라남도
fbn69,서해,백령도(fbn69),2006-09-12,,37.9505,124.7295,O,X,X,5,,,
bbsi5,서해,보령 삽시도(bbsi5),2018-04-12,,36.3714,126.3383,O,X,X,1,,,기상청
fbsp5,서해,보령 소도(fbsp5),2025-05-19,,36.3969,126.4328,O,X,X,5,,,보령시청
bbbi5,서해,부안 변산(bbbi5),2018-04-12,,35.6592,126.4592,O,X,X,1,,,기상청
bbwi5,서해,부안 위도(bbwi5),2018-04-12,,35.6584,126.261,O,X,X,1,,,기상청
sj086,서해,서산 지곡(sj086),2008-06-21,,36.8935,126.3524,O,X,X,3,,,
fsch6,서해,서산 창리(fsch6),2017-06-13,,36.6163,126.3717,O,O,X,5,10,,
bsmi5,서해,서천 마량(bsmi5),2018-04-12,,36.1669,126.3328,O,X,X,1,,,기상청
fsdk7,서해,신안 다물도(fsdk7),2020-07-08,,34.7346,125.4494,O,X,X,2,,,전라남도
fsdk6,서해,신안 다수(fsdk6),2020-06-16,,34.5927,126.1409,O,X,X,2,,,전라남도
fsmm6,서해,신안 마리(fsmm6),2022-06-07,,34.6885,125.4074,O,X,X,3,,,전라남도
fsbo4,서해,신안 반월(fsbo4),2023-04-20,,34.6921,126.0926,O,X,X,2,,,전라남도
fssk8,서해,신안 사치(fssk8),2020-08-06,2024-07-10,34.7405,126.0566,O,X,X,2,,,전라남도
fssoc,서해,신안 소신(fssoc),2024-12-01,,34.692,126.0198,O,X,X,3,,,전라남도
fssm6,서해,신안 송공(fssm6),2022-06-07,,34.8419,126.2304,O,X,X,2,,,전라남도
fsaj7,서해,신안 안좌(fsaj7),2019-07-22,,34.6984,126.159,O,X,X,2,,,전라남도
esafc,서해,신안 압해(esafc),2015-12-11,,34.8483,126.2248,O,X,X,7,,,전남과학원
fsej7,서해,신안 어의(fsej7),2019-07-22,,35.1151,126.1926,O,X,X,2,,,전라남도
bsoi5,서해,신안 옥도(bsoi5),2018-04-12,2020-11-16,34.6928,126.0556,O,X,X,1,,,기상청
fsal6,서해,신안 읍동(fsal6),2021-06-11,,34.7623,126.132,O,X,X,2,,,전라남도
fsjo4,서해,신안 장산(fsjo4),2024-04-09,,34.6677,126.1691,O,X,X,3,,,전라남도
fshj7,서해,신안 흑산(fshj7),2019-07-22,,34.6626,125.3927,O,X,X,2,,,전라남도
bapi5,서해,안산 풍도(bapi5),2018-04-12,2021-08-20,37.1167,126.375,O,X,X,1,,,기상청
yk001,서해,영광(yk001),2004-12-17,2005-07-25,35.2083,126.1876,X,X,X,5,,,
byni5,서해,영광 낙월(byni5),2018-04-12,,35.2006,126.2103,O,X,X,1,,,기상청
